NaiveSort
[8782998, 9046455, 8610152, 8251595, 8523327, 8086553, 8246174, 8271943, 8476960, 8838984, 8673601, 8244702, 8688970, 8302620, 8683771, 8470948, 8237037, 8339231, 8314974, 8792656, 8554146, 8086964, 8629237, 8201951, 8619590, 8269368, 8445140, 8210397, 8167756, 8634667, 8866325, 8229604, 8286090, 8607397, 8207822, 8935495, 8134724, 8579193, 8379396, 8423930, 7984660, 8621022, 8795502, 8482310, 8465899, 8276471, 8566169, 8727312, 8867166, 9431552, 9157083, 8096001, 8678360, 7915981, 8335403, 8646850, 8789691, 8100269, 8074080, 8224854, 8497659, 8533316, 8394484, 8778740, 8204416, 8196551, 8119084, 8141036, 8302691, 8443046, 8709930, 8255122, 8102043, 8295148, 8639266, 8501787, 7851489, 8258538, 8170251, 8284537, 8758651, 8994537, 8074310, 8184007, 8032581, 7986604, 7926260, 8135376, 8523478, 8092715, 8129905, 8223703, 7934867, 8944222, 8691535, 8018354, 8374286, 8003146, 8308832, 8607827]
SA-IS-09
1, 0, 26, 4.70044, 17, 0.725825
2, 1, 684, 9.41785, 106, 0.207856
4, 2, 914, 9.83605, 2072, 1.70795
8, 3, 817, 9.67419, 67, 0.11371
16, 4, 1112, 10.1189, 63, 0.079504
32, 5, 1690, 10.7228, 55, 0.0462038
64, 6, 2785, 11.4435, 33, 0.0169943
128, 7, 4951, 12.2735, 958, 0.255194
256, 8, 9660, 13.2378, 5578, 0.657578
512, 9, 17631, 14.1058, 930, 0.0741601
1024, 10, 34743, 15.0844, 2247, 0.090413
2048, 11, 68740, 16.0689, 3459, 0.070829
4096, 12, 137644, 17.0706, 8460, 0.086054
8192, 13, 275931, 18.0739, 7063, 0.0364639
16384, 14, 609754, 19.2179, 351969, 0.657394
32768, 15, 1097919, 20.0663, 32904, 0.0426015
65536, 16, 2219456, 21.0818, 151896, 0.0955037
131072, 17, 4429679, 22.0788, 71658, 0.0231514
[4636562, 4365791, 4377312, 4355551, 4411216, 4353627, 4357184, 4458275, 4398051, 4390497, 4387001, 4603178, 4361602, 4413681, 4495676, 4478002, 4431965, 4377723, 4361191, 4366021, 4358587, 4391178, 4466360, 4365861, 4387040, 4361833, 4370269, 4391289, 4357795, 4386129, 4425774, 4574123, 4363626, 4388313, 4471470, 4358246, 4373334, 4368154, 4381049, 4395777, 4365239, 4417217, 4408491, 4439504, 4522005, 4490595, 4510784, 4488121, 4525422, 4485085, 4581838, 4525020, 4545419, 4545370, 4492599, 4363686, 4453626, 4366923, 4397090, 4358767, 4363165, 4410445, 4357375, 4374216, 4417407, 4379466, 4504588, 4503660, 4531643, 4501326, 4504923, 4571749, 4568543, 4498902, 4495415, 4590294, 4483813, 4385959, 4390837, 4424130, 4369327, 4377383, 4372643, 4367293, 4356293, 4407549, 4364438, 4533617, 4411016, 4367975, 4376029, 4353517, 4375399, 4490686, 4366922, 4504542, 4437727, 4451122, 4454828, 4372634]
